study,description,citekey
amalric2012mathematicians,High-level math,amalric2016origins
archi,Localizer,pinel2007
brainomics,Brainomics localizer,papadopoulos_brainomics_2017
camcan,CamCan audio-visual,shafto_cambridge_2014
cauvet2009muslang,Constit. struct. of sent. & music,"cauvet2012traitement,hara2009neural"
devauchelle2009sentence,Sentence/music complexity,devauchelle2009sentence
ds001,Balloon Analog Risk-taking,schonberg2012decreasing
ds002,Classification learning,aron2006long
ds003,Rhyme judgment,xue2007neural
ds005,Mixed-gambles,tom_neural_2007
ds006A,Plain or mirror-reversed text,jimura_neural_2014
ds007,Stop-signal w/ spoken & manual resp.,xue2008common
ds008,Stop-signal,aron2007triangulating
ds009,"BART, stop-signal, emotion",cohen2009generality
ds011,Weather prediction,foerde2006modulation
ds017A,Stop-signal & classification,ds017
ds017B,Stop-signal & classification (retake),ds017
ds051,Cross-language repetition priming,alvarez2002
ds052,Classif. learning & reversal,poldrack2001interactive
ds101,Simon task,ds101
ds102,Flanker task (event-related),kelly2008competition
ds105,Visual object recognition,haxby2001
ds107,Word & object processing,duncan2009consistency
ds108,Emotion regulation,wager2008prefrontal
ds109,False belief,moran2012social
ds110,Incidental encoding,uncapher_dissociable_2011
ds114,Motor task & word/verb generation,gorgolewski2013test
ds116,Auditory & Visual Oddball,collier_comparison_2014
gauthier2009resonance,Spatio-temporal judgement,gauthier2012temporal
gauthier2010resonance,Spatio-temporal judgement (retake),gauthier2012temporal
hcp,The Human Connectome Project,barch2013
henson2010faces,Face recognition,henson_parametric_2011
knops2009recruitment,Arithmetic & saccades,knops2009
la5c,UCLA LA5C,poldrack_phenome-wide_2016
pinel2009twins,Twin localizer,pinel2013
vagharchakian2012temporal,Compression,vagharchakian2012temporal
