,datasets,model,with_std,source,mean,std,count
archi,archi,factored,True,hcp_rs_positive,0.854757834757835,0.010837558048804713,15
archi,archi,factored,True,hcp_rs_positive_single,0.8589743589743591,0.007497405907872254,20
archi,archi,logistic_dropout,True,hcp_rs_positive,0.8044871794871797,0.01754798432301269,28
archi,archi,logistic_dropout,True,hcp_rs_positive_single,0.8019343229869549,0.014181745838296825,19
archi,archi,logistic_l2_sklearn,False,hcp_rs_positive,0.7933903133903135,0.009558393943633973,15
archi,archi,logistic_l2_sklearn,False,hcp_rs_positive_single,0.80974358974359,0.015326167635080656,15
archi,archi__hcp,factored,True,hcp_rs_positive,0.8707264957264961,0.01012498897089277,16
archi,archi__hcp,factored,True,hcp_rs_positive_single,0.8677587844254514,0.013122979898121508,18
brainomics,brainomics,factored,True,hcp_rs_positive,0.8919424743892829,0.009367983754453984,12
brainomics,brainomics,factored,True,hcp_rs_positive_single,0.892434988179669,0.012917657209662484,15
brainomics,brainomics,logistic_dropout,True,hcp_rs_positive,0.8295508274231678,0.02167715558125727,15
brainomics,brainomics,logistic_dropout,True,hcp_rs_positive_single,0.8185579196217493,0.022867765386041808,12
brainomics,brainomics,logistic_l2_sklearn,False,hcp_rs_positive,0.8427107959022853,0.01681449375947067,15
brainomics,brainomics,logistic_l2_sklearn,False,hcp_rs_positive_single,0.8390285837094347,0.01799501798817353,11
brainomics,brainomics__hcp,factored,True,hcp_rs_positive,0.899211977935382,0.014961454003314407,15
brainomics,brainomics__hcp,factored,True,hcp_rs_positive_single,0.896167724275227,0.013650439046568654,19
camcan,camcan,factored,True,hcp_rs_positive,0.599009900990099,0.008877448929357247,14
camcan,camcan,factored,True,hcp_rs_positive_single,0.6033474776049034,0.012368945735665429,14
camcan,camcan,logistic_dropout,True,hcp_rs_positive,0.5955995599559956,0.010795967275624483,12
camcan,camcan,logistic_dropout,True,hcp_rs_positive_single,0.5980669495520979,0.009629742295036015,14
camcan,camcan,logistic_l2_sklearn,False,hcp_rs_positive,0.5816981698169819,0.01590977754945443,22
camcan,camcan,logistic_l2_sklearn,False,hcp_rs_positive_single,0.589042904290429,0.010418918834907896,10
camcan,camcan__hcp,factored,True,hcp_rs_positive,0.60999528524281,0.010225230383485348,14
camcan,camcan__hcp,factored,True,hcp_rs_positive_single,0.6085808580858085,0.010545328537531084,22
la5c,la5c,factored,True,hcp_rs_positive,0.5937466372493871,0.009974327618897223,19
la5c,la5c,factored,True,hcp_rs_positive_single,0.591089910408677,0.013749379546700592,14
la5c,la5c,logistic_dropout,True,hcp_rs_positive,0.5729021642867953,0.010874298000775535,13
la5c,la5c,logistic_dropout,True,hcp_rs_positive_single,0.5759466959474965,0.013358622635785506,17
la5c,la5c,logistic_l2_sklearn,False,hcp_rs_positive,0.5387076774607616,0.013960282974645067,11
la5c,la5c,logistic_l2_sklearn,False,hcp_rs_positive_single,0.5455679750843814,0.013977165894103543,11
la5c,la5c__hcp,factored,True,hcp_rs_positive,0.5946908974436785,0.011069028105970857,18
la5c,la5c__hcp,factored,True,hcp_rs_positive_single,0.5936052470325094,0.012878355150127842,22
